,name,address,g_rating,lat,long
139,Olio e Piú,"3 Greenwich Ave, New York, NY 10014, USA",4.5,40.7338794,-73.8884726
140,Ops,"346 Himrod St, Brooklyn, NY 11237, USA",4.6,40.70261489999999,-73.8884726
141,Original Pizza,"6823 4th Ave, Brooklyn, NY 11220, USA",4.2,40.63464310000001,-73.8884726
142,Osteria Laguna,"209 E 42nd St, New York, NY 10017, USA",4.3,40.75065529999999,-73.8884726
143,Otto Enoteca Pizzeria,"One 5th Ave, New York, NY 10003, USA",4.1,40.731991,-73.8884726
144,Ovest Pizzoteca,"513 W 27th St, New York, NY 10001, USA",4.4,40.7507778,-73.8884726
145,P&M Classic Pizza and Restaurant,"1747 Amsterdam Ave, New York, NY 10031",4.5,40.826242,-73.946869
146,Parkside Group,"132 Nassau St # 400, New York, NY 10038, USA",5.0,40.71101959999999,-73.8884726
147,Pasquale Jones,"187 Mulberry St, New York, NY 10012, USA",4.4,40.7210784,-73.8884726
148,Goins Patricia A,"67 Wall St, New York, NY 10005, USA",0.0,40.70557869999999,-73.8884726
149,Patsy's Pizzeria,"2287 1st Avenue, New York, NY 10035, USA",4.5,40.79715279999999,-73.8884726
150,Patsy’s Pizzeria,"450 Dean St, Brooklyn, NY 11217, USA",4.5,40.6818278,-73.8884726
151,Paulie's Pizzeria,"500 Bay St, Staten Island, NY 10304, USA",4.5,40.6297733,-73.8884726
152,Paulie Gee's Slice Shop,"110 Franklin St, Brooklyn, NY 11222, USA",4.5,40.7283642,-73.8884726
153,Pier 76,"2511, 76 Bay St, Staten Island, NY 10301, United States",4.4,40.6401123,-73.8884726
154,Pipitone's,"100 Dekalb Ave, Brooklyn, NY 11201, USA",3.9,40.6895988,-73.8884726
155,Pizza Beach,"167 Orchard St, New York, NY 10002, USA",4.2,40.7213684,-73.8884726
156,Pizza Bella,"8130 Broadway, Flushing, NY 11373, USA",4.4,40.74292639999999,-73.8884726
157,Pizza Chef,"1512 Fulton St, Brooklyn, NY 11213, USA",3.0,40.6797575,-73.8884726
