,name,address,pro_review_score,sentiment,g_rating,appearance_scores,laty,longy,QuORP,yelp_sentiment,yelp_popularity,overall_score
76,Gruppo Thin Crust Pizza,"98 Avenue B, New York, NY 10009, USA",0.0,0.6853979935435265,4.5,0.4352450094208652,40.7247367,-73.98164849999998,2.6649026553383903,2.730214665746812,0.055542021924482335,15.841266394074376
77,Highline Pizzeria,"503 W 28th St, New York, NY 10001, USA",0.46875,0.4686109388407458,4.2,0.4352450094208652,40.751094099999996,-74.00223059999998,2.9605166904261093,3.3214427359222496,0.7289293849658315,19.3519664418971
78,Houdini Kitchen Laboratory,"1563 Decatur St, Ridgewood, NY 11385, USA",0.5085227272727272,0.9557925722764125,4.4,0.641275180595989,40.6941557,-73.90231480000001,2.44904715637593,2.298503667821892,1.1506284367635506,21.431903994940306
79,The House of Pizza & Calzone,"132 Union St, Brooklyn, NY 11231, USA",0.5823863636363636,0.0,4.6,0.4352450094208652,40.683972,-74.0022625,2.9661546726219554,3.3327187003139414,0.3562367864693446,17.588697858479946
80,Industry Kitchen,"70 South St, New York, NY 10038, USA",0.0,0.8677919051766445,4.2,0.4352450094208652,40.7052583,-74.00546870000002,3.0134578668966974,3.4273250888634257,0.058465608465608464,17.317162129051184
81,Italy Pizza,"800 Manhattan Ave, Brooklyn, NY 11222, USA",0.46875,0.4140550537668316,4.6,0.4352450094208652,40.7278729,-73.95286170000001,3.1801541526617587,3.760717660393549,0.09318693693693694,18.449802560413445
82,Ivana's Pizzeria,"2373 Arthur Ave, The Bronx, NY 10458, USA",0.46875,0.6776750037148436,4.5,0.4352450094208652,40.855060200000004,-73.88826399999998,3.1488887834493653,3.6981869219687615,0.059147180192572216,18.929114347781013
83,J & V Pizzeria,"6322 18th Ave, Brooklyn, NY 11204",0.35511363636363635,0.6167639278448227,4.1,0.4352450094208652,40.6199406,-73.9896832,2.9707240269492354,3.341857408968502,0.2729053318824809,18.023169836581125
84,Joe & Pat's,"1758 Victory Blvd, Staten Island, NY 10314",3.1875,0.9955744117456238,4.3,0.9873894038945904,40.6129244,-74.12211490000001,2.9394423102608203,3.2792939755916715,0.10410841041084104,29.44946118426315
85,Joe's Pizza,"7 Carmine St, New York, NY 10014, USA",3.5142045454545463,0.9970481539282194,4.5,0.9488788467236094,40.730659700000004,-74.00217070000002,2.0914559169454465,1.5833211889609242,0.0384125636672326,27.314913901656016
86,John's of Bleecker St.,"278 Bleecker St, New York, NY 10014, USA",0.7102272727272727,0.9268813194252618,4.6,0.641275180595989,40.73161870000001,-74.00344679999998,3.040445005838297,3.4812993667466228,0.058935361216730035,20.945097119228308
87,Juliana's,"19 Old Fulton St, Brooklyn, NY 11201, USA",1.4630681818181817,0.9362169983726294,4.6,0.9488788467236094,40.7027359,-73.99344789999998,1.8636416904261093,1.12769273592225,0.027783807249837204,20.249775282010287
88,Kesté Pizza & Vino,"271 Bleecker St, New York, NY 10014, USA",2.0568181818181817,0.9887772425472084,4.5,0.9873894038945904,40.731534499999995,-74.00296259999998,2.7718803267897463,2.9441700086495226,0.1892880189288019,25.906096105527574
89,King's Pizza,"1688 East 16th Street, Brooklyn, NY 11229, USA",0.46875,0.6354142731854951,4.0,0.4352450094208652,40.6085223,-73.95747589999998,3.2905166904261094,3.9814427359222497,0.2624671916010499,19.407989864837
90,Kingsbridge Social Club,"3625 Kingsbridge Ave, The Bronx, NY 10463, USA",0.17045454545454547,0.4686109388407458,4.7,0.4352450094208652,40.8845734,-73.90200659999998,1.8698190160075048,1.1400473870850405,0.022068257634077496,13.019054835800354
91,Kiss My Slice,"274 W 40th St, New York, NY 10018, USA",0.46875,0.6167639278448227,4.4,0.4352450094208652,40.7557265,-73.99051519999998,2.2839476527692057,1.9683046606084424,0.4050847457627119,16.656899859500808
92,Korner Pizza,"226 Church Ave # 1, Brooklyn, NY 11218, USA",0.46875,0.9531072603847358,4.2,0.4352450094208652,40.6433681,-73.9775507,3.082391690426109,3.56519273592225,0.1045751633986928,19.358955241827648
93,L&B Spumoni Gardens,"2725 86th St, Brooklyn, NY 11223",4.769886363636363,0.9981544144925436,4.6,0.7827950167967009,40.5947441,-73.9813041,2.2800819078174137,1.9605731707048584,0.03707435019141648,31.177119145811247
94,L'Amico,"849 6th Ave, New York, NY 10001, USA",0.25568181818181823,0.7395966394655525,4.2,0.4352450094208652,40.7471776,-73.98994669999998,2.6578816443128024,2.716172643695636,0.429055963821368,17.56687607348701
95,Layla Jones,"214 Court St, Brooklyn, NY 11201, USA",0.5681818181818182,0.8602532147367029,4.2,0.4352450094208652,40.6866631,-73.9940562,2.571043006215583,2.5424953675011968,0.2074235807860262,17.897513416854167
96,Lee's Tavern,"60 Hancock St, Staten Island, NY 10305, USA",1.40625,0.9843848525442936,4.6,0.7827950167967014,40.58876420000001,-74.09517389999998,2.9127689426783614,3.2259472404267537,0.24943820224719104,23.896397547238045
97,Levante,"26-21 Jackson Ave, Long Island City, NY 11101, USA",0.0,0.8272759214389849,4.5,0.4352450094208652,40.7476347,-73.94175209999999,2.3748024047118244,2.1500141644936788,0.014857489387507581,15.129495702956845
98,Lido Harlem Restaurant,"2168 Frederick Douglass Blvd, New York, NY 10026, USA",0.2102272727272727,0.3573573807990669,4.4,0.4352450094208652,40.8048926,-73.9546798,2.660516690426109,2.72144273592225,0.039782386943216584,15.325196591886034
99,Lil' Frankie's,"19 1st Avenue, New York, NY 10003, USA",0.5965909090909091,0.8629286148124548,4.3,0.641275180595989,40.723605600000006,-73.98841440000002,2.404637104348969,2.2096835637679693,0.2951957789502916,18.595783512468838
100,Lillian Pizzeria,"9601 69th Ave, Forest Hills, NY 11375, USA",0.2414772727272727,0.5867560524242568,4.4,0.4352450094208652,40.7169672,-73.8523108,2.9975773933015093,3.3955641416730487,0.2029173419773096,17.776259931927786
101,L'industrie pizzeria,"254 S 2nd St, Brooklyn, NY 11211, USA",0.5511363636363635,0.980005489887236,4.7,0.641275180595989,40.711583600000004,-73.9578707,2.660516690426109,2.72144273592225,0.0033285782215882074,19.230627450413426
102,Lions & Tigers & Squares Detroit Pizza,"268 W 23rd St, New York, NY 10011, USA",0.35511363636363635,0.3266617061539126,4.5,0.641275180595989,40.74505740000001,-73.99833790000002,2.8579689197254723,3.1163471945209755,0.1462505822077317,17.602376731901472
103,Little Italy Pizza,"2841, 11 Park Pl, New York, NY 10007, United States",0.46875,0.8944382652742096,4.3,0.4352450094208652,40.713063399999996,-74.0082771,2.5862011754326284,2.572811705935288,0.1607966457023061,17.71494590092973
104,Little luzzo's Ciro Adamo,"119 E 96th St, New York, NY 10128, USA",0.35511363636363635,0.9335684952031752,4.3,0.4352450094208652,40.786408200000004,-73.95152689999998,2.9241982824659107,3.2488059200018524,0.08192378235174241,18.437798784372333
105,Lombardi's,"32 Spring St, New York, NY 10012, USA",1.088068181818182,0.9727354492340524,4.1,0.7827950167967014,40.7216368,-73.99572049999998,2.064557094466513,1.5295235440030581,0.021059349074664963,18.753025854502827
106,Loring Place,"21 W 8th St, New York, NY 10011, USA",0.35511363636363635,0.6530458206957587,4.6,0.4352450094208652,40.7329499,-73.9975869,2.8653359675345427,3.1310812901391167,0.3341384863123993,18.446856770472266
107,Louie & Ernie's Pizza,"1300 Crosby Ave, The Bronx, NY 10461, USA",1.5056818181818181,0.9915291103449072,4.7,0.8822221391594968,40.838259,-73.8286389,2.449990374636636,2.3003901043433017,0.0187192118226601,22.401952305216884
108,Louie's,"8134 Baxter Ave # 1, Elmhurst, NY 11373, USA",1.056818181818182,0.9935503884879374,4.7,0.641275180595989,40.7459936,-73.88355659999998,3.0679240978335174,3.5362575507370653,0.11031664964249234,22.53519774094963
109,Lucali,"575 Henry St, Brooklyn, NY 11231, USA",3.7954545454545454,0.9977855700984825,4.5,0.882222139159497,40.6818032,-74.00030869999998,2.7482359886717243,2.8968813324134777,0.014948859166011016,30.12258845744865
110,Luigi's Gourmet Pizza,"936 8th Ave, New York, NY 10019, USA",0.46875,0.5543660009727208,4.1,0.4352450094208652,40.76556420000001,-73.98340470000002,2.2994055793149983,1.999220513700028,0.17335473515248795,15.528618789964106
111,Luigi's Pizza,"686 5th Ave, Brooklyn, NY 11215, USA",0.8238636363636364,0.9741865709978512,4.6,0.641275180595989,40.661643700000006,-73.9934135,2.5745216044310237,2.5494525639320766,0.099365234375,19.918479679404523
112,Luigi's,"1701 1st Avenue, New York, NY 10128, USA",0.46875,0.7459580749268995,4.1,0.4352450094208652,40.778414,-73.9486109,2.0105166904261096,1.42144273592225,0.03234152652005175,14.669244274818222
113,Lunetta,"245 3rd Ave, New York, NY 10010, USA",0.46875,0.8599191790629543,4.1,0.4352450094208652,40.7370029,-73.9841508,1.9590674150637903,1.318544185197612,0.07310870947234584,14.953356672315149
114,Luzzo's La Pizza Napoletana,"213 1st Avenue, New York, NY 10003, USA",0.28409090909090906,0.9820110818961292,4.3,0.4352450094208652,40.7305966,-73.9834463,2.2234796533890724,1.847368661848176,0.06132182602770837,15.85573729189198
115,Mama's TOO!,"2750 Broadway, New York, NY 10025, USA",1.7698863636363638,0.9842021191397948,4.4,0.9488788467236094,40.8008185,-73.9676358,1.718208998118417,0.8368273513068649,0.02724652868745088,20.603558931002244
116,Mani In Pasta,"245 E 14th St, New York, NY 10003, USA",0.35511363636363635,0.19566542362849745,4.5,0.4352450094208652,40.73266539999999,-73.9851719,2.180201729796188,1.7608128146624074,0.05126135216952573,13.72811434475762
117,Marabella,"4107 Greenpoint Ave, Sunnyside, NY 11104, USA",0.46875,0.8306982286895241,4.3,0.4352450094208652,40.74027529999999,-73.9238457,2.024533426827784,1.4494762087255977,0.0958684316085038,15.363104028777313
118,La Pizza & La Pasta at Eataly NYC Downtown,"101 Liberty St 3rd floor, New York, NY 10281, USA",0.0,0.796103752866825,4.4,0.4352450094208652,40.710064700000004,-74.01197579999999,2.560217289228505,2.5208439335270407,0.1374485596707819,15.95270450389857
119,Marinara Pizza Midtown East,"985 1st Avenue, New York, NY 10022, USA",0.0,0.8434922783214954,4.6,0.4352450094208652,40.756543900000004,-73.96442940000001,2.8947759496853687,3.1899612544407683,0.3164371520656314,18.002791169046155
